ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,SD_SCHUL_CODE,AY,Latitude,Longitude,고등학교구분명,location_Cluster,sub_Cluster,final_Cluster
B10,서울특별시교육청,7011186,2022,37.5122595,126.8294991,특성화고,0,11,15
B10,서울특별시교육청,7010146,2022,37.63759745,127.0751285171,일반고,2,1,25
B10,서울특별시교육청,7010740,2022,37.4883754,127.0983424,특성화고,9,10,3
B10,서울특별시교육청,7010147,2022,37.64522,127.06673,일반고,2,1,23
B10,서울특별시교육청,7010148,2022,37.57799105,126.9829715686,일반고,8,1,29
B10,서울특별시교육청,7010808,2022,37.5617004,127.0347032,특성화고,8,11,32
B10,서울특별시교육청,7011499,2022,37.48520405,127.146873101,일반고,9,9,2
B10,서울특별시교육청,7010149,2022,37.54943785,126.8284480048,일반고,0,1,14
B10,서울특별시교육청,7010150,2022,37.54943785,126.8284480048,특목고,0,0,16
B10,서울특별시교육청,7010317,2022,37.489816,126.8372549,특성화고,0,10,13
B10,서울특별시교육청,7010699,2022,37.6872129,127.0435078,일반고,2,1,28
B10,서울특별시교육청,7011318,2022,37.5667563,127.0303341,일반고,8,1,30
B10,서울특별시교육청,7010560,2022,37.4762486,126.9108405297,일반고,4,1,41
B10,서울특별시교육청,7010151,2022,37.577223,127.076452,일반고,7,9,37
B10,서울특별시교육청,7010746,2022,37.5435491,127.0864008,일반고,9,1,1
B10,서울특별시교육청,7010152,2022,37.4751104,126.9913502,일반고,1,1,18
B10,서울특별시교육청,7011490,2022,37.63248,126.9180513,특성화고,6,11,43
B10,서울특별시교육청,7010153,2022,37.63248,126.9180513,일반고,6,1,44
B10,서울특별시교육청,7010154,2022,37.5269802,127.1216255,일반고,9,9,2
B10,서울특별시교육청,7010155,2022,37.5850668,127.003081035,자율고,8,1,33
B10,서울특별시교육청,7010965,2022,37.56887295,126.8475466298,일반고,0,1,16
B10,서울특별시교육청,7010156,2022,37.45199575,126.9166881777,일반고,4,1,41
B10,서울특별시교육청,7010075,2022,37.4820915,126.9651576319,일반고,4,1,41
B10,서울특별시교육청,7010076,2022,37.5312042,127.1441556756,일반고,3,1,9
B10,서울특별시교육청,7010700,2022,37.5613245,126.8445763,자율고,0,1,16
